tis1099_code,iso3166_2,iso_subdivision_type,hasc,fips_code,wikidata_qid,geonames_id,osm_relation_id,wikipedia_article_url,name_en_canonical,name_th,name_alternates_en,region,capital,capital_th,established_year,predecessor_tis1099_code,centroid_lat,centroid_lon,area_km2,area_rai,bbox_minlat,bbox_minlon,bbox_maxlat,bbox_maxlon,distance_to_bangkok_km,neighbors,has_international_border,bordering_countries,is_coastal,coastline_length_km,postal_code_prefixes,telephone_area_codes,num_amphoe,num_tambon,notes
84,TH-84,Province,TH.ST,TH60,Q240463,1150514,1908825,https://en.wikipedia.org/wiki/Surat_Thani_province,Surat Thani,สุราษฎร์ธานี,SuratThani,South,Surat Thani,สุราษฎร์ธานี,,,9.03818,99.08031,13180.1,8237562.5,8.31256,98.446,9.80398,100.07013,552.2,80|81|82|85|86,false,,true,129.9,84,077,19,131,
85,TH-85,Province,TH.RN,TH59,Q236802,1150964,1908810,https://en.wikipedia.org/wiki/Ranong_province,Ranong,ระนอง,,South,Ranong,ระนอง,,,9.95626,98.69871,3359.0,2099375.0,9.3089,98.39047,10.78416,98.96487,472.9,82|84|86,true,Myanmar,true,98.2,85,077,5,30,
86,TH-86,Province,TH.CP,TH58,Q244695,1153555,1908774,https://en.wikipedia.org/wiki/Chumphon_province,Chumphon,ชุมพร,Chum Phon|Chumpon|Chumporn,South,Chumphon,ชุมพร,,,10.34867,99.06539,6002.2,3751375.0,9.60088,98.63033,11.03371,99.50256,416.3,77|84|85,true,Myanmar,true,83.6,86,077,8,70,
90,TH-90,Province,TH.SG,TH68,Q235574,1606146,1908822,https://en.wikipedia.org/wiki/Songkhla_province,Songkhla,สงขลา,Songkla,South,Songkhla,สงขลา,,,6.92878,100.55609,7772.8,4858000.0,6.30042,100.05722,7.9318,101.10362,760.3,80|91|93|94|95,true,Malaysia,true,231.5,90,074,16,127,
91,TH-91,Province,TH.SA,TH67,Q236263,1606375,1908819,https://en.wikipedia.org/wiki/Satun_province,Satun,สตูล,,South,Satun,สตูล,,,6.86042,99.95063,2888.1,1805062.5,6.42272,99.59564,7.2037,100.20442,771.5,90|92|93,true,Malaysia,true,124.6,91,074,7,36,
92,TH-92,Province,TH.TG,TH65,Q243805,1150006,1908828,https://en.wikipedia.org/wiki/Trang_province,Trang,ตรัง,,South,Trang,ตรัง,,,7.55602,99.59249,4615.2,2884500.0,7.13186,99.25948,8.00783,99.94856,699.8,80|81|91|93,false,,true,87.9,92,075,10,87,
93,TH-93,Province,TH.PL,TH66,Q243808,1607778,1908800,https://en.wikipedia.org/wiki/Phatthalung_province,Phatthalung,พัทลุง,,South,Phatthalung,พัทลุง,,,7.51281,100.07108,3915.1,2446937.5,7.10758,99.73825,7.89288,100.42814,698.0,80|90|91|92,false,,true,79.3,93,074,11,65,
94,TH-94,Province,TH.PI,TH69,Q236781,1607976,1908798,https://en.wikipedia.org/wiki/Pattani_province,Pattani,ปัตตานี,,South,Pattani,ปัตตานี,,,6.72656,101.3516,2051.3,1282062.5,6.5647,101.01762,6.90573,101.72484,786.8,90|95|96,false,,true,88.6,94,073,12,115,
95,TH-95,Province,TH.YL,TH70,Q242977,1604869,1908872,https://en.wikipedia.org/wiki/Yala_province,Yala,ยะลา,,South,Yala,ยะลา,,,6.17852,101.22868,4350.2,2718875.0,5.61304,100.84104,6.62797,101.59243,846.3,90|94|96,true,Malaysia,false,,95,073,8,58,
96,TH-96,Province,TH.NW,TH31,Q271442,1608408,1908794,https://en.wikipedia.org/wiki/Narathiwat_province,Narathiwat,นราธิวาส,Bangnara,South,Narathiwat,นราธิวาส,,,6.17027,101.71844,4617.9,2886187.5,5.733,101.37137,6.57686,102.08905,853.0,94|95,true,Malaysia,true,55.0,96,073,13,77,
